lat,long,postcode,name,address
-37.693439,144.743281,3037,LITTLE MUNCHKINS CHILD CARE CENTRE,"CFA, Gourlay Road, Hillside"
-37.878202,145.065197,3146,LITTLE PADDINGTON CHILD CARE CENTRE AND KINDERGARTEN,"Waverley Road, Malvern East"
-37.814036,145.17637,3130,LITTLE RASKALS KINDERGARTEN & CHILD CARE CENTRE,"Esdale Street, Nunawading"
-38.034801,145.343834,3805,LITTLEONES CHILD CARE CENTRE,"Gibb Street, Berwick, Harkaway"
-38.034043,145.107337,3196,LOCHIEL AVENUE CHILD CARE CENTRE,"6, Lochiel Avenue, Edithvale"
-37.832164,145.270439,3155,LOTS OF CUDDLES CHILD CARE AND KINDERGARTEN,"Canterbury Road, Bayswater North"
-38.371411,144.857007,3940,LYNDEL CHILD CARE CENTRE,"Darvall Street, Tootgarook"
-37.42597,144.569473,3440,MACEDON CHILD CARE CENTRE,"Scott Street, Macedon"
-37.724417,145.068185,3087,MACLEOD YMCA CHILDRENS CRECHE,"157, Wungan Street, Macleod"
-37.87,145.262665,3156,MAGIC GARDEN CHILD CARE CENTRE,"Linda Crescent, Ferntree Gully"
-37.815437,145.044617,3122,MALIN FRIENDS NURSERY AND KINDERGARTEN,"Barkers Road, Hawthorn"
-35.262234,141.180111,3512,MALLEE MINORS CHILD CARE CENTRE -MURRAYVILLE,"Gray Street, Murrayville"
-35.070949,142.327726,3512,MALLEE MINORS CHILD CARE CENTRE -OUYEN,"Mallee Highway, Ouyen"
-35.503691,142.853191,3533,MALLEE MINORS CHILD CARE CENTRE SEA LAKE,"Mudge Street, Sea Lake, Shire of Buloke"
-37.863357,145.04002,3144,MALVERN DAY NURSERY,"Tooronga Road, Malvern"
-37.861406,145.027307,3143,MALVERN EARLY LEARNING AND CHILD CARE CENTRE,"24, Llaneast Street, Armadale"
-37.776675,144.885684,3032,MARIBYRNONG AQUATIC CENTRE OCCASIONAL CHILD CARE,"Aquatic Drive, Maribyrnong"
-37.98173,145.216357,3175,MARKET STREET OCCASIONAL CHILD CARE CENTRE,"Market Street, Dandenong"
-37.73732,144.932633,3044,MARY POPPINS CHILD CARE CENTRE,"Bell Street, Pascoe Vale South"
-37.881308,145.07854,3146,MAY ARMSTRONG CHILD CARE CENTRE,"Armstrong Court, Holmesglen, Malvern East"
